time,SPY,QQQ,TSLA,AMZN,NFLX,META,AAPL,MSFT,NVDA,AMD,TWTR,NIO,GOOGL,SHOP,BA,ROKU,DIA,MRNA,BABA,DIS,BAC,JPM,F,AMC,GME,INTC,UBER,SNAP,SQ,PYPL,COIN,MARA,RIOT,QCOM,ZM,%5ESPX,
2022-08-03 10:16,0.932,1.059,0.515,0.614,0.718,0.423,0.865,0.579,0.388,0.404,0.698,0.531,0.328,0.438,0.345,0.727,0.735,0.397,0.634,0.499,0.496,0.406,0.221,0.286,0.341,0.445,0.289,0.131,0.437,0.702,0.3,0.302,0.273,0.932,1.695,0.89,
2022-08-03 10:17,0.924,1.071,0.515,0.613,0.718,0.423,0.868,0.575,0.387,0.404,0.698,0.531,0.324,0.44,0.346,0.72,0.745,0.398,0.629,0.499,0.502,0.407,0.221,0.285,0.341,0.438,0.29,0.131,0.438,0.705,0.298,0.31,0.274,0.93,1.821,0.884,
2022-08-03 10:18,0.929,1.079,0.515,0.616,0.72,0.427,0.87,0.577,0.387,0.4,0.706,0.53,0.323,0.44,0.344,0.718,0.737,0.398,0.631,0.501,0.504,0.406,0.22,0.285,0.341,0.435,0.29,0.131,0.438,0.705,0.293,0.309,0.274,0.931,1.926,0.887,
2022-08-03 10:19,0.931,1.08,0.516,0.616,0.721,0.428,0.871,0.579,0.388,0.401,0.72,0.527,0.324,0.461,0.344,0.719,0.741,0.399,0.632,0.518,0.503,0.406,0.22,0.336,0.341,0.435,0.288,0.131,0.439,0.705,0.293,0.309,0.274,0.93,1.999,0.888,
2022-08-03 10:20,0.934,1.078,0.516,0.614,0.72,0.428,0.871,0.581,0.389,0.4,0.719,0.527,0.325,0.462,0.344,0.717,0.744,0.398,0.639,0.508,0.497,0.406,0.22,0.36,0.34,0.436,0.288,0.132,0.44,0.704,0.292,0.316,0.274,0.929,2.006,0.892,
2022-08-03 10:21,0.937,1.078,0.517,0.616,0.72,0.429,0.872,0.581,0.386,0.4,0.751,0.531,0.326,0.465,0.344,0.715,0.747,0.397,0.645,0.509,0.497,0.406,0.221,0.36,0.341,0.433,0.288,0.132,0.441,0.703,0.294,0.319,0.273,0.928,1.982,0.894,
2022-08-03 10:22,0.936,1.079,0.517,0.616,0.722,0.429,0.874,0.578,0.387,0.401,0.764,0.532,0.326,0.463,0.349,0.712,0.755,0.396,0.649,0.508,0.497,0.406,0.222,0.393,0.34,0.432,0.288,0.131,0.442,0.704,0.295,0.32,0.273,0.906,1.983,0.895,
2022-08-03 10:28,0.952,1.076,0.517,0.615,0.716,0.432,0.861,0.58,0.398,0.401,0.753,0.527,0.319,0.469,0.346,0.745,0.78,0.397,0.604,0.51,0.495,0.396,0.222,0.403,0.344,0.448,0.286,0.134,0.445,0.71,0.294,0.318,0.27,0.905,1.964,0.894,
2022-08-03 10:35,0.957,1.104,0.521,0.628,0.711,0.437,0.851,0.588,0.399,0.401,0.752,0.503,0.319,0.46,0.344,0.755,0.82,0.395,0.582,0.537,0.496,0.388,0.223,0.407,0.361,0.455,0.286,0.136,0.43,0.713,0.311,0.321,0.295,0.842,1.809,0.894,
2022-08-03 10:36,0.952,1.108,0.521,0.629,0.709,0.435,0.852,0.588,0.399,0.4,0.752,0.499,0.318,0.461,0.343,0.767,0.826,0.394,0.578,0.537,0.496,0.387,0.224,0.403,0.367,0.466,0.284,0.136,0.429,0.713,0.31,0.317,0.294,0.842,1.762,0.892,
2022-08-03 10:37,0.953,1.104,0.521,0.629,0.713,0.435,0.852,0.593,0.398,0.4,0.756,0.494,0.317,0.461,0.342,0.767,0.825,0.395,0.571,0.535,0.496,0.389,0.226,0.403,0.373,0.466,0.285,0.136,0.43,0.714,0.309,0.315,0.293,0.84,1.71,0.894,
2022-08-03 10:38,0.953,1.106,0.521,0.632,0.714,0.434,0.848,0.592,0.401,0.4,0.768,0.492,0.313,0.461,0.342,0.774,0.824,0.396,0.565,0.541,0.488,0.386,0.23,0.402,0.373,0.465,0.285,0.135,0.429,0.714,0.306,0.327,0.294,0.84,1.755,0.897,
2022-08-03 10:39,0.954,1.109,0.521,0.631,0.718,0.443,0.845,0.586,0.405,0.401,0.769,0.491,0.313,0.464,0.343,0.774,0.822,0.398,0.567,0.541,0.488,0.385,0.231,0.401,0.371,0.462,0.285,0.135,0.431,0.711,0.31,0.333,0.294,0.841,1.738,0.899,
2022-08-03 10:40,0.943,1.106,0.522,0.646,0.72,0.445,0.84,0.591,0.404,0.401,0.766,0.49,0.313,0.466,0.342,0.773,0.823,0.39,0.564,0.531,0.488,0.386,0.231,0.4,0.371,0.455,0.285,0.135,0.429,0.712,0.311,0.333,0.292,0.84,1.681,0.892,
2022-08-03 10:41,0.94,1.104,0.521,0.646,0.719,0.445,0.837,0.596,0.404,0.4,0.766,0.488,0.314,0.467,0.343,0.773,0.83,0.39,0.562,0.532,0.489,0.376,0.231,0.402,0.37,0.456,0.285,0.134,0.43,0.71,0.309,0.331,0.29,0.827,1.611,0.889,
2022-08-03 10:42,0.94,1.105,0.518,0.638,0.722,0.446,0.839,0.595,0.402,0.399,0.764,0.488,0.314,0.468,0.343,0.775,0.83,0.39,0.564,0.524,0.489,0.361,0.231,0.398,0.369,0.455,0.285,0.134,0.431,0.709,0.309,0.329,0.29,0.797,1.6,0.891,
2022-08-03 10:51,0.946,1.09,0.519,0.636,0.736,0.45,0.838,0.603,0.4,0.4,0.726,0.486,0.318,0.486,0.35,0.823,0.83,0.391,0.608,0.517,0.475,0.317,0.23,0.393,0.364,0.451,0.285,0.134,0.439,0.702,0.31,0.327,0.288,0.745,1.565,0.898,
2022-08-03 10:52,0.947,1.092,0.519,0.639,0.735,0.449,0.838,0.603,0.4,0.4,0.726,0.479,0.317,0.488,0.345,0.823,0.829,0.391,0.607,0.515,0.476,0.312,0.238,0.392,0.364,0.452,0.284,0.135,0.438,0.701,0.31,0.327,0.288,0.744,1.497,0.899,
2022-08-03 10:53,0.949,1.094,0.52,0.641,0.732,0.451,0.838,0.603,0.398,0.404,0.724,0.478,0.318,0.487,0.345,0.827,0.814,0.391,0.607,0.514,0.476,0.312,0.238,0.391,0.363,0.451,0.284,0.135,0.437,0.701,0.311,0.333,0.298,0.74,1.495,0.886,
2022-08-04 09:44,0.865,1.064,0.536,0.659,0.21,0.553,0.574,0.553,0.449,0.451,1.834,0.36,0.46,0.513,0.487,0.476,1.622,0.31,0.489,0.545,0.411,0.333,0.396,0.336,0.321,0.342,0.563,0.298,0.753,1.33,1.313,0.191,0.246,1.255,0.57,1.114,
2022-08-04 09:45,0.865,1.065,0.536,0.66,0.213,0.553,0.577,0.551,0.449,0.45,1.834,0.362,0.46,0.526,0.488,0.477,1.621,0.312,0.463,0.507,0.411,0.333,0.393,0.335,0.321,0.352,0.566,0.297,0.741,1.329,1.309,0.191,0.245,1.24,0.555,1.115,
2022-08-04 09:46,0.864,1.075,0.54,0.658,0.211,0.555,0.579,0.552,0.448,0.451,1.774,0.362,0.463,0.557,0.481,0.477,1.637,0.313,0.465,0.508,0.411,0.335,0.39,0.336,0.32,0.355,0.57,0.294,0.743,1.339,1.299,0.191,0.245,1.262,0.551,1.113,
2022-08-04 09:47,0.858,1.067,0.539,0.659,0.214,0.552,0.577,0.548,0.45,0.442,1.604,0.354,0.461,0.561,0.48,0.485,1.626,0.313,0.464,0.506,0.408,0.335,0.393,0.334,0.32,0.356,0.568,0.289,0.738,1.328,1.284,0.19,0.244,1.258,0.551,1.113,
2022-08-04 09:48,0.879,1.066,0.546,0.657,0.214,0.55,0.577,0.548,0.453,0.439,1.607,0.354,0.488,0.565,0.482,0.486,1.622,0.313,0.464,0.459,0.424,0.344,0.394,0.334,0.32,0.355,0.568,0.287,0.74,1.33,1.276,0.19,0.244,1.261,0.56,1.111,
2022-08-04 09:49,0.865,1.073,0.539,0.658,0.212,0.549,0.581,0.549,0.449,0.44,1.604,0.354,0.487,0.57,0.489,0.485,1.519,0.312,0.466,0.461,0.423,0.343,0.394,0.333,0.318,0.36,0.582,0.287,0.733,1.35,1.27,0.189,0.244,1.261,0.56,1.106,
2022-08-04 09:58,0.847,1.061,0.543,0.651,0.213,0.544,0.583,0.573,0.442,0.44,1.631,0.352,0.477,0.58,0.468,0.485,1.52,0.313,0.467,0.473,0.298,0.339,0.398,0.314,0.325,0.346,0.614,0.286,0.744,1.283,1.251,0.186,0.244,1.081,0.456,1.097,
2022-08-04 09:59,0.845,1.057,0.543,0.651,0.212,0.542,0.588,0.568,0.442,0.44,1.641,0.352,0.474,0.576,0.468,0.484,1.525,0.311,0.467,0.479,0.299,0.339,0.396,0.316,0.325,0.346,0.769,0.286,0.749,1.273,1.249,0.186,0.244,1.081,0.456,1.097,
2022-08-04 10:27,0.862,1.093,0.551,0.689,0.22,0.492,0.51,0.589,0.443,0.459,1.59,0.387,0.51,0.573,0.411,0.486,1.619,0.306,0.474,0.481,0.312,0.362,0.403,0.328,0.334,0.357,0.663,0.28,0.799,1.146,1.26,0.186,0.241,1.049,0.465,1.079,
